Dataset ID	Sequencing kit	Model system	Cell line	Cell type	Conditions	ENA project	ENA sample	Data size TB	Data grouping notes	Raw data access	Data health check	Data status	Raw H5AD	Additional notes
adamson_2016_pilot	10x Genomics Single Cell 3-prime v1	cell_line	K 562 cell	lymphoblast	Single condition	PRJNA354963	SAMN06055347;SAMN06055348	0.015	Raw submitted BAMs, 2 runs: SRR5082088 GEX + SRR5082089 guide barcodes (GSM2406675/76, 10X001). Size is BAM bytes, excluding BAI; no ENA FASTQs. Recover cell barcode/UMI and guide reads from BAM tags before reanalysis (10x v1).	BAM only	OK	Legacy		
adamson_2016_upr_perturb_seq	10x Genomics Single Cell 3-prime v1	cell_line	K 562 cell	lymphoblast	Single condition	PRJNA354963	SAMN06055332;SAMN06055333;SAMN06055334;SAMN06055335;SAMN06055336;SAMN06055337;SAMN06055338;SAMN06055339;SAMN06055340;SAMN06055341;SAMN06055342	0.446	Raw submitted BAMs: SRR5082094 GEX (GSM2406681, 10X010) + SRR5082095-SRR5082104 guide gemgroups 1-10. GEX BAM available via NCBI SDL although ENA file links and SRA RunInfo size are blank/zero. Size is BAM bytes, excluding BAI. Recover barcode/UMI tags; exclude epistasis GSM2406677-80.	BAM only	Issues	Legacy		
norman_2019_raw	10x Genomics Single Cell 3-prime v2	cell_line	K 562 cell		Single condition	PRJNA551220	SAMN12142212;SAMN12142213;SAMN12142214;SAMN12142215;SAMN12142216;SAMN12142217;SAMN12142218;SAMN12142219;SAMN12142220;SAMN12142221;SAMN12142222;SAMN12142223;SAMN12142224;SAMN12142225;SAMN12142226;SAMN12142227	0.253	32 SRA runs, 16 BioSamples: 8 GEX + 8 guide-barcode libraries; pair by gemgroup 1-8 in sample_title, merge both runs per library. Size is SRA archive bytes. ENA single FASTQs omit technical barcode/UMI reads; extract those from SRA explicitly. GEO GSE133344.	SRA (FASTQ extraction)	Issues	Legacy	https://exampledata.scverse.org/pertpy/norman_2019_raw.h5ad	Schema-compatible: single- and multi-gene perturbations form a flat list compared with one shared non-targeting control population. No single-target-only restriction.
gasperini_2019_atscale	10x Genomics Single Cell 3-prime v2	cell_line	K 562 cell	lymphoblast	Complex: target-dependent reference populations; no adequate shared control for catalogue DEA/GSEA	PRJNA494734	SAMN10179953;SAMN10179954	0.706	64 submitted BAMs: SAMN10179954 GEX (32 runs) + SAMN10179953 gRNA (32 runs). Pair at_scale_screen.<1A|1B|2A|2B>_<1-8> from submitted filenames. Size is BAM bytes excluding BAI; no ENA FASTQs. Barcode/UMI recovery required. Exclude pilot screens and bulk validation samples (GSE120861).	BAM only	Issues	Not processed		Control audit: 207324 cells; 8 negative-control-only calls, 43294 cells with both negative-control and targeting guides, 1527 unassigned. The 50k reference is mostly perturbed cells. Multi-gene perturbations are allowed; comparator structure is the blocker. See raw-data-notes.md.
nadig_2025_jurkat	10x Genomics Single Cell 3-prime v3	cell_line	JURKAT cell	T cell	Single condition	PRJNA1100571	SAMN40972597	1.074	1792 raw SRA runs (896 mRNA + 896 sgRNA), 56 GEM groups: pair jurkat_(mRNA|sgRNA)_<group>, merge suffixes/lanes within group. Size is SRA archive bytes; ENA single FASTQs omit technical barcode/UMI reads. Existing pipeline sample mapping available.	SRA (FASTQ extraction)	OK	Reprocessed	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264667/suppl/GSE264667%5Fjurkat%5Fraw%5Fsinglecell%5F01.h5ad	Single cell line
nadig_2025_hepg2	10x Genomics Single Cell 3-prime v3	cell_line	Hep G2 cell	hepatocyte	Single condition	PRJNA1100571	SAMN40972598	1.967	448 raw runs (224 mRNA + 224 sgRNA), 56 GEM groups: pair hepg2_(mRNA|sgRNA)_<group>, merge L001-L004. Size is ENA compressed FASTQ bytes; existing pipeline sample mapping available.	FASTQ	OK	Reprocessed	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE264667&format=file&file=GSE264667%5Fhepg2%5Fraw%5Fsinglecell%5F01%2Eh5ad	Single cell line
replogle_2022_k562_essential_normalized	10x Genomics Single Cell 3-prime v3	cell_line	K 562 cell		Single condition	PRJNA831566	SAMN28561243	1.216	576 raw mRNA/sgRNA runs across 48 GEM groups; use existing pipeline sample mapping. Exclude 48 non-mRNA/sgRNA processed runs in this BioSample. Size is ENA compressed FASTQ bytes for raw libraries only.	FASTQ	Issues	Reprocessed	https://ndownloader.figshare.com/files/35773075	K562, Day 6
replogle_2022_rpe1_essential_normalized	10x Genomics Single Cell 3-prime v3	cell_line	hTERT RPE-1 cell	retinal pigment epithelial cell	Single condition	PRJNA831566	SAMN28561244	1.347	1792 raw mRNA/sgRNA runs across 56 GEM groups; use existing pipeline sample mapping. Exclude 56 processed BAM runs in this BioSample. Size is ENA compressed FASTQ bytes for raw libraries only.	FASTQ	OK	Reprocessed	https://ndownloader.figshare.com/files/35775554	RPE1, Day 7
replogle_2022_k562_gw_normalized	10x Genomics Single Cell 3-prime v3	cell_line	K 562 cell	lymphoblast	Single condition	PRJNA831566	SAMN28561242	7.742	4592 raw mRNA/sgRNA runs; preserve seq/pool identifiers and use existing pipeline sample mapping (96 output groups). Exclude 273 processed BAM runs and separate Ultima BioSample SAMN28561245. Size is ENA compressed FASTQ bytes for raw libraries only; do not equate run count with GEM count.	FASTQ	OK	Reprocessed	https://ndownloader.figshare.com/files/35774440	K562, Day 8 
orion_2025_hct116	10x Genomics Chromium GEM-X Single Cell 5-prime kit v3	cell_line	HCT 116 cell	colon epithelial cell	Single condition				No public raw-read accession found in SRA/ENA as of 2026-09-10 (Xaira / X-Atlas / Fix-Cryopreserve searches). Author Figshare 29190726 and Hugging Face release contain processed H5AD/Parquet, not sequencing reads. Accession and size left blank (unknown, not zero).	Unavailable	Issues	Legacy		
