sample_id	mRNA_srrs	sgRNA_srrs	guide_feature_offset	guide_feature_length
1A_1	BAM:SRR7967494	BAM:SRR7967526	23	20
1A_2	BAM:SRR7967505	BAM:SRR7967537	23	20
1A_3	BAM:SRR7967516	BAM:SRR7967548	23	20
1A_4	BAM:SRR7967520	BAM:SRR7967552	23	20
1A_5	BAM:SRR7967521	BAM:SRR7967553	23	20
1A_6	BAM:SRR7967522	BAM:SRR7967554	23	20
1A_7	BAM:SRR7967523	BAM:SRR7967555	23	20
1A_8	BAM:SRR7967524	BAM:SRR7967556	23	20
1B_1	BAM:SRR7967525	BAM:SRR7967557	23	20
1B_2	BAM:SRR7967495	BAM:SRR7967527	23	20
1B_3	BAM:SRR7967496	BAM:SRR7967528	23	20
1B_4	BAM:SRR7967497	BAM:SRR7967529	23	20
1B_5	BAM:SRR7967498	BAM:SRR7967530	23	20
1B_6	BAM:SRR7967499	BAM:SRR7967531	23	20
1B_7	BAM:SRR7967500	BAM:SRR7967532	23	20
1B_8	BAM:SRR7967501	BAM:SRR7967533	23	20
2A_1	BAM:SRR7967502	BAM:SRR7967534	23	20
2A_2	BAM:SRR7967503	BAM:SRR7967535	23	20
2A_3	BAM:SRR7967504	BAM:SRR7967536	23	20
2A_4	BAM:SRR7967506	BAM:SRR7967538	23	20
2A_5	BAM:SRR7967507	BAM:SRR7967539	23	20
2A_6	BAM:SRR7967508	BAM:SRR7967540	23	20
2A_7	BAM:SRR7967509	BAM:SRR7967541	23	20
2A_8	BAM:SRR7967510	BAM:SRR7967542	23	20
2B_1	BAM:SRR7967511	BAM:SRR7967543	23	20
2B_2	BAM:SRR7967512	BAM:SRR7967544	23	20
2B_3	BAM:SRR7967513	BAM:SRR7967545	23	20
2B_4	BAM:SRR7967514	BAM:SRR7967546	23	20
2B_5	BAM:SRR7967515	BAM:SRR7967547	23	20
2B_6	BAM:SRR7967517	BAM:SRR7967549	23	20
2B_7	BAM:SRR7967518	BAM:SRR7967550	23	20
2B_8	BAM:SRR7967519	BAM:SRR7967551	23	20
