sample_id	mRNA_srrs	sgRNA_srrs
1	SRR28735809;SRR28736017;SRR28736133;SRR28736179	SRR28736016;SRR28736040;SRR28736061;SRR28736144
2	SRR28735971;SRR28735993;SRR28736015;SRR28736029	SRR28735840;SRR28735982;SRR28736004;SRR28736018
3	SRR28735808;SRR28735829;SRR28735951;SRR28736101	SRR28735799;SRR28735820;SRR28735962;SRR28736112
4	SRR28735788;SRR28735935;SRR28736060;SRR28736083	SRR28735777;SRR28735924;SRR28736049;SRR28736072
5	SRR28735775;SRR28735894;SRR28735916;SRR28736201	SRR28735764;SRR28735883;SRR28735905;SRR28736190
6	SRR28735853;SRR28736148;SRR28736158;SRR28736178	SRR28735864;SRR28736147;SRR28736149;SRR28736169
7	SRR28736139;SRR28736141;SRR28736143;SRR28736146	SRR28736138;SRR28736140;SRR28736142;SRR28736145
8	SRR28736130;SRR28736132;SRR28736135;SRR28736137	SRR28736129;SRR28736131;SRR28736134;SRR28736136
9	SRR28736039;SRR28736043;SRR28736126;SRR28736128	SRR28736038;SRR28736041;SRR28736125;SRR28736127
10	SRR28736031;SRR28736033;SRR28736035;SRR28736037	SRR28736030;SRR28736032;SRR28736034;SRR28736036
11	SRR28736022;SRR28736024;SRR28736026;SRR28736028	SRR28736021;SRR28736023;SRR28736025;SRR28736027
12	SRR28736020;SRR28736120;SRR28736122;SRR28736124	SRR28736019;SRR28736119;SRR28736121;SRR28736123
13	SRR28736012;SRR28736014;SRR28736116;SRR28736118	SRR28736011;SRR28736013;SRR28736115;SRR28736117
14	SRR28736003;SRR28736006;SRR28736008;SRR28736010	SRR28736002;SRR28736005;SRR28736007;SRR28736009
15	SRR28735995;SRR28735997;SRR28735999;SRR28736001	SRR28735994;SRR28735996;SRR28735998;SRR28736000
16	SRR28735986;SRR28735988;SRR28735990;SRR28735992	SRR28735985;SRR28735987;SRR28735989;SRR28735991
17	SRR28735977;SRR28735979;SRR28735981;SRR28735984	SRR28735976;SRR28735978;SRR28735980;SRR28735983
18	SRR28735848;SRR28735970;SRR28735973;SRR28735975	SRR28735847;SRR28735969;SRR28735972;SRR28735974
19	SRR28735839;SRR28735842;SRR28735844;SRR28735846	SRR28735838;SRR28735841;SRR28735843;SRR28735845
20	SRR28735831;SRR28735833;SRR28735835;SRR28735837	SRR28735830;SRR28735832;SRR28735834;SRR28735836
21	SRR28735826;SRR28735828;SRR28735966;SRR28735968	SRR28735825;SRR28735827;SRR28735965;SRR28735967
22	SRR28735957;SRR28735959;SRR28735961;SRR28735964	SRR28735956;SRR28735958;SRR28735960;SRR28735963
23	SRR28735948;SRR28735950;SRR28735953;SRR28735955	SRR28735947;SRR28735949;SRR28735952;SRR28735954
24	SRR28735819;SRR28735822;SRR28735824;SRR28735946	SRR28735818;SRR28735821;SRR28735823;SRR28735945
25	SRR28735811;SRR28735813;SRR28735815;SRR28735817	SRR28735810;SRR28735812;SRR28735814;SRR28735816
26	SRR28735801;SRR28735803;SRR28735805;SRR28735807	SRR28735800;SRR28735802;SRR28735804;SRR28735806
27	SRR28736107;SRR28736109;SRR28736111;SRR28736114	SRR28736106;SRR28736108;SRR28736110;SRR28736113
28	SRR28736098;SRR28736100;SRR28736103;SRR28736105	SRR28736097;SRR28736099;SRR28736102;SRR28736104
29	SRR28735798;SRR28736092;SRR28736094;SRR28736096	SRR28735797;SRR28736091;SRR28736093;SRR28736095
30	SRR28735790;SRR28735792;SRR28735794;SRR28735796	SRR28735789;SRR28735791;SRR28735793;SRR28735795
31	SRR28735781;SRR28735783;SRR28735785;SRR28735787	SRR28735780;SRR28735782;SRR28735784;SRR28735786
32	SRR28735776;SRR28735779;SRR28735941;SRR28735943	SRR28735778;SRR28735940;SRR28735942;SRR28735944
33	SRR28735932;SRR28735934;SRR28735937;SRR28735939	SRR28735931;SRR28735933;SRR28735936;SRR28735938
34	SRR28735923;SRR28735926;SRR28735928;SRR28735930	SRR28735922;SRR28735925;SRR28735927;SRR28735929
35	SRR28735921;SRR28736085;SRR28736087;SRR28736089	SRR28736084;SRR28736086;SRR28736088;SRR28736090
36	SRR28736076;SRR28736078;SRR28736080;SRR28736082	SRR28736075;SRR28736077;SRR28736079;SRR28736081
37	SRR28736067;SRR28736069;SRR28736071;SRR28736074	SRR28736066;SRR28736068;SRR28736070;SRR28736073
38	SRR28736057;SRR28736059;SRR28736063;SRR28736065	SRR28736056;SRR28736058;SRR28736062;SRR28736064
39	SRR28736048;SRR28736051;SRR28736053;SRR28736055	SRR28736047;SRR28736050;SRR28736052;SRR28736054
