sample_id	mRNA_srrs	sgRNA_srrs
1	SRR28689786;SRR28689805;SRR28689893;SRR28689961;SRR28689980;SRR28689993;SRR28690240;SRR28690241;SRR28690259;SRR28690279;SRR28690281;SRR28690312;SRR28690327;SRR28690364;SRR28690472;SRR28690531	SRR28689775;SRR28689797;SRR28689816;SRR28689854;SRR28689950;SRR28689962;SRR28689969;SRR28690004;SRR28690020;SRR28690148;SRR28690252;SRR28690270;SRR28690280;SRR28690301;SRR28690338;SRR28690520
2	SRR28689892;SRR28689913;SRR28689930;SRR28690134;SRR28690147;SRR28690164;SRR28690183;SRR28690205;SRR28690227;SRR28690434;SRR28690451;SRR28690471;SRR28690494;SRR28690629;SRR28690649;SRR28690666	SRR28689881;SRR28689902;SRR28689919;SRR28689941;SRR28690123;SRR28690136;SRR28690175;SRR28690194;SRR28690216;SRR28690291;SRR28690423;SRR28690462;SRR28690483;SRR28690505;SRR28690618;SRR28690638
3	SRR28689844;SRR28689853;SRR28690015;SRR28690017;SRR28690019;SRR28690038;SRR28690056;SRR28690077;SRR28690095;SRR28690112;SRR28690363;SRR28690382;SRR28690399;SRR28690556;SRR28690573;SRR28690590	SRR28689833;SRR28689865;SRR28690016;SRR28690018;SRR28690027;SRR28690045;SRR28690066;SRR28690106;SRR28690347;SRR28690352;SRR28690393;SRR28690410;SRR28690545;SRR28690562;SRR28690584;SRR28690601
4	SRR28689992;SRR28689995;SRR28689997;SRR28689999;SRR28690001;SRR28690003;SRR28690006;SRR28690008;SRR28690010;SRR28690012;SRR28690014;SRR28690274;SRR28690276;SRR28690278;SRR28690344;SRR28690346	SRR28689991;SRR28689994;SRR28689996;SRR28689998;SRR28690000;SRR28690002;SRR28690005;SRR28690007;SRR28690009;SRR28690011;SRR28690013;SRR28690273;SRR28690275;SRR28690277;SRR28690343;SRR28690345
5	SRR28689807;SRR28689809;SRR28689811;SRR28689813;SRR28689815;SRR28689818;SRR28689820;SRR28689822;SRR28690256;SRR28690258;SRR28690261;SRR28690263;SRR28690265;SRR28690267;SRR28690269;SRR28690272	SRR28689806;SRR28689808;SRR28689810;SRR28689812;SRR28689814;SRR28689817;SRR28689819;SRR28689821;SRR28690255;SRR28690257;SRR28690260;SRR28690262;SRR28690264;SRR28690266;SRR28690268;SRR28690271
6	SRR28689800;SRR28689802;SRR28689804;SRR28690251;SRR28690254;SRR28690320;SRR28690322;SRR28690324;SRR28690326;SRR28690329;SRR28690331;SRR28690333;SRR28690335;SRR28690337;SRR28690340;SRR28690342	SRR28689799;SRR28689801;SRR28689803;SRR28690250;SRR28690253;SRR28690319;SRR28690321;SRR28690323;SRR28690325;SRR28690328;SRR28690330;SRR28690332;SRR28690334;SRR28690336;SRR28690339;SRR28690341
7	SRR28689783;SRR28689785;SRR28689788;SRR28689790;SRR28689792;SRR28689794;SRR28689796;SRR28690231;SRR28690233;SRR28690235;SRR28690237;SRR28690239;SRR28690243;SRR28690245;SRR28690247;SRR28690249	SRR28689782;SRR28689784;SRR28689787;SRR28689789;SRR28689791;SRR28689793;SRR28689795;SRR28689798;SRR28690232;SRR28690234;SRR28690236;SRR28690238;SRR28690242;SRR28690244;SRR28690246;SRR28690248
8	SRR28689772;SRR28689774;SRR28689777;SRR28689779;SRR28689781;SRR28689968;SRR28689971;SRR28689973;SRR28689975;SRR28689977;SRR28689979;SRR28689982;SRR28689984;SRR28689986;SRR28689988;SRR28689990	SRR28689773;SRR28689776;SRR28689778;SRR28689780;SRR28689967;SRR28689970;SRR28689972;SRR28689974;SRR28689976;SRR28689978;SRR28689981;SRR28689983;SRR28689985;SRR28689987;SRR28689989;SRR28690536
9	SRR28690305;SRR28690307;SRR28690309;SRR28690311;SRR28690314;SRR28690316;SRR28690318;SRR28690517;SRR28690519;SRR28690522;SRR28690524;SRR28690526;SRR28690528;SRR28690530;SRR28690533;SRR28690535	SRR28690304;SRR28690306;SRR28690308;SRR28690310;SRR28690313;SRR28690315;SRR28690317;SRR28690516;SRR28690518;SRR28690521;SRR28690523;SRR28690525;SRR28690527;SRR28690529;SRR28690532;SRR28690534
10	SRR28689943;SRR28689945;SRR28689947;SRR28689949;SRR28689952;SRR28689954;SRR28689956;SRR28689958;SRR28689960;SRR28689964;SRR28689966;SRR28690229;SRR28690296;SRR28690298;SRR28690300;SRR28690303	SRR28689944;SRR28689946;SRR28689948;SRR28689951;SRR28689953;SRR28689955;SRR28689957;SRR28689959;SRR28689963;SRR28689965;SRR28690228;SRR28690230;SRR28690295;SRR28690297;SRR28690299;SRR28690302
11	SRR28690193;SRR28690196;SRR28690198;SRR28690200;SRR28690202;SRR28690204;SRR28690207;SRR28690209;SRR28690211;SRR28690213;SRR28690215;SRR28690218;SRR28690220;SRR28690222;SRR28690224;SRR28690226	SRR28690192;SRR28690195;SRR28690197;SRR28690199;SRR28690201;SRR28690203;SRR28690206;SRR28690208;SRR28690210;SRR28690212;SRR28690214;SRR28690217;SRR28690219;SRR28690221;SRR28690223;SRR28690225
12	SRR28690185;SRR28690187;SRR28690189;SRR28690191;SRR28690491;SRR28690493;SRR28690496;SRR28690498;SRR28690500;SRR28690502;SRR28690504;SRR28690507;SRR28690509;SRR28690511;SRR28690513;SRR28690515	SRR28690184;SRR28690186;SRR28690188;SRR28690190;SRR28690490;SRR28690492;SRR28690495;SRR28690497;SRR28690499;SRR28690501;SRR28690503;SRR28690506;SRR28690508;SRR28690510;SRR28690512;SRR28690514
13	SRR28690170;SRR28690172;SRR28690174;SRR28690177;SRR28690179;SRR28690181;SRR28690468;SRR28690470;SRR28690474;SRR28690476;SRR28690478;SRR28690480;SRR28690482;SRR28690485;SRR28690487;SRR28690489	SRR28690169;SRR28690171;SRR28690173;SRR28690176;SRR28690178;SRR28690180;SRR28690182;SRR28690469;SRR28690473;SRR28690475;SRR28690477;SRR28690479;SRR28690481;SRR28690484;SRR28690486;SRR28690488
14	SRR28690159;SRR28690161;SRR28690163;SRR28690166;SRR28690168;SRR28690444;SRR28690446;SRR28690448;SRR28690450;SRR28690453;SRR28690455;SRR28690457;SRR28690459;SRR28690461;SRR28690464;SRR28690466	SRR28690160;SRR28690162;SRR28690165;SRR28690167;SRR28690294;SRR28690445;SRR28690447;SRR28690449;SRR28690452;SRR28690454;SRR28690456;SRR28690458;SRR28690460;SRR28690463;SRR28690465;SRR28690467
15	SRR28689932;SRR28689934;SRR28689936;SRR28689938;SRR28689940;SRR28690282;SRR28690284;SRR28690286;SRR28690288;SRR28690290;SRR28690293;SRR28690657;SRR28690659;SRR28690661;SRR28690663;SRR28690665	SRR28689931;SRR28689933;SRR28689935;SRR28689937;SRR28689939;SRR28689942;SRR28690283;SRR28690285;SRR28690287;SRR28690289;SRR28690292;SRR28690658;SRR28690660;SRR28690662;SRR28690664;SRR28690667
16	SRR28689921;SRR28689923;SRR28689925;SRR28689927;SRR28689929;SRR28690135;SRR28690138;SRR28690140;SRR28690142;SRR28690144;SRR28690146;SRR28690150;SRR28690152;SRR28690154;SRR28690156;SRR28690158	SRR28689920;SRR28689922;SRR28689924;SRR28689926;SRR28689928;SRR28690137;SRR28690139;SRR28690141;SRR28690143;SRR28690145;SRR28690149;SRR28690151;SRR28690153;SRR28690155;SRR28690157;SRR28690443
17	SRR28690420;SRR28690422;SRR28690425;SRR28690427;SRR28690429;SRR28690431;SRR28690433;SRR28690436;SRR28690438;SRR28690440;SRR28690442;SRR28690646;SRR28690648;SRR28690651;SRR28690653;SRR28690655	SRR28690421;SRR28690424;SRR28690426;SRR28690428;SRR28690430;SRR28690432;SRR28690435;SRR28690437;SRR28690439;SRR28690441;SRR28690645;SRR28690647;SRR28690650;SRR28690652;SRR28690654;SRR28690656
18	SRR28689897;SRR28689899;SRR28689901;SRR28689904;SRR28689906;SRR28689908;SRR28689910;SRR28689912;SRR28689915;SRR28689917;SRR28690633;SRR28690635;SRR28690637;SRR28690640;SRR28690642;SRR28690644	SRR28689896;SRR28689898;SRR28689900;SRR28689903;SRR28689905;SRR28689907;SRR28689909;SRR28689911;SRR28689914;SRR28689916;SRR28689918;SRR28690634;SRR28690636;SRR28690639;SRR28690641;SRR28690643
