sample_id	mRNA_srrs	sgRNA_srrs
KD6_seq1_essential_lane_1	SRR19330566;SRR19330644;SRR19330645;SRR19330815;SRR19331001;SRR19331148;SRR19331217;SRR19331256	SRR19330404;SRR19330632;SRR19330643;SRR19330707
KD6_seq1_essential_lane_2	SRR19330599;SRR19330610;SRR19330621;SRR19331090;SRR19331101;SRR19331159;SRR19331362;SRR19331373	SRR19330582;SRR19330593;SRR19331084;SRR19331147
KD6_seq1_essential_lane_3	SRR19330554;SRR19330565;SRR19330865;SRR19330876;SRR19331073;SRR19331334;SRR19331345;SRR19331356	SRR19331045;SRR19331056;SRR19331317;SRR19331328
KD6_seq1_essential_lane_4	SRR19330814;SRR19330826;SRR19330837;SRR19330848;SRR19330859;SRR19331017;SRR19331028;SRR19331300	SRR19330545;SRR19330796;SRR19330807;SRR19331289
KD6_seq1_essential_lane_5	SRR19330534;SRR19330768;SRR19330779;SRR19331000;SRR19331012;SRR19331261;SRR19331272;SRR19331283	SRR19330506;SRR19330517;SRR19330973;SRR19330984
KD6_seq1_essential_lane_6	SRR19330478;SRR19330489;SRR19330500;SRR19330751;SRR19330762;SRR19330956;SRR19331244;SRR19331255	SRR19330734;SRR19330945;SRR19331216;SRR19331228
KD6_seq1_essential_lane_7	SRR19330430;SRR19330441;SRR19330452;SRR19330461;SRR19330472;SRR19330723;SRR19330928;SRR19330939	SRR19330409;SRR19330420;SRR19330695;SRR19330706
KD6_seq1_essential_lane_8	SRR19330392;SRR19330403;SRR19330679;SRR19330690;SRR19330900;SRR19330911;SRR19331196;SRR19331207	SRR19330883;SRR19330894;SRR19331179;SRR19331382
KD6_seq1_essential_lane_9	SRR19330639;SRR19330640;SRR19330641;SRR19330642;SRR19330651;SRR19330662;SRR19331120;SRR19331168	SRR19330635;SRR19330636;SRR19330637;SRR19330638
KD6_seq1_essential_lane_10	SRR19330626;SRR19330627;SRR19330628;SRR19330629;SRR19330630;SRR19330631;SRR19330633;SRR19330634	SRR19330622;SRR19330623;SRR19330624;SRR19330625
KD6_seq1_essential_lane_11	SRR19330613;SRR19330614;SRR19330615;SRR19330616;SRR19330617;SRR19330618;SRR19330619;SRR19330620	SRR19330608;SRR19330609;SRR19330611;SRR19330612
KD6_seq1_essential_lane_12	SRR19330600;SRR19330601;SRR19330602;SRR19330603;SRR19330604;SRR19330605;SRR19330606;SRR19330607	SRR19330598;SRR19331108;SRR19331109;SRR19331110
KD6_seq1_essential_lane_13	SRR19331099;SRR19331100;SRR19331102;SRR19331103;SRR19331104;SRR19331105;SRR19331106;SRR19331107	SRR19331095;SRR19331096;SRR19331097;SRR19331098
