sample_id	mRNA_srrs	sgRNA_srrs
KD8_seq1_p1_0	SRR19330985;SRR19330986;SRR19330987;SRR19330988	SRR19330976;SRR19330977;SRR19330978;SRR19330979
KD8_seq1_p1_1	SRR19330967;SRR19330968;SRR19330969;SRR19330970	SRR19331251;SRR19331252;SRR19331253;SRR19331254
KD8_seq1_p1_2	SRR19331242;SRR19331243;SRR19331245;SRR19331246	SRR19330763;SRR19330764;SRR19330765;SRR19331237
KD8_seq1_p1_3	SRR19330754;SRR19330755;SRR19330756;SRR19330757	SRR19330745;SRR19330746;SRR19330747;SRR19330748
KD8_seq1_p1_4	SRR19330496;SRR19330497;SRR19330498;SRR19330499	SRR19330487;SRR19330488;SRR19330490;SRR19330491
KD8_seq1_p1_5	SRR19330479;SRR19330480;SRR19330481;SRR19330482	SRR19330959;SRR19330960;SRR19330961;SRR19330962
KD8_seq1_p1_6	SRR19330950;SRR19330951;SRR19330952;SRR19330953	SRR19330943;SRR19330944;SRR19331235;SRR19331236
KD8_seq1_p1_7	SRR19331226;SRR19331227;SRR19331229;SRR19331230	SRR19331218;SRR19331219;SRR19331220;SRR19331221
KD8_seq1_p1_8	SRR19330737;SRR19330738;SRR19330739;SRR19330740	SRR19330728;SRR19330729;SRR19330730;SRR19330731
KD8_seq1_p1_9	SRR19330719;SRR19330720;SRR19330721;SRR19330722	SRR19330470;SRR19330471;SRR19330473;SRR19330474
KD8_seq1_p1_10	SRR19330462;SRR19330463;SRR19330464;SRR19330465	SRR19330454;SRR19330455;SRR19330456;SRR19330942
KD8_seq1_p1_11	SRR19330933;SRR19330934;SRR19330935;SRR19330936	SRR19330924;SRR19330925;SRR19330926;SRR19330927
KD8_seq1_p1_12	SRR19330450;SRR19330451;SRR19330453;SRR19330919	SRR19330442;SRR19330443;SRR19330444;SRR19330445
KD8_seq1_p1_13	SRR19330433;SRR19330434;SRR19330435;SRR19330436	SRR19330712;SRR19330713;SRR19330714;SRR19330715
KD8_seq1_p1_14	SRR19330702;SRR19330703;SRR19330704;SRR19330705	SRR19330429;SRR19330694;SRR19330696;SRR19330697
KD8_seq1_p1_15	SRR19330421;SRR19330422;SRR19330423;SRR19330424	SRR19330412;SRR19330413;SRR19330414;SRR19330415
KD8_seq1_p1_16	SRR19330406;SRR19330916;SRR19330917;SRR19330918	SRR19330907;SRR19330908;SRR19330909;SRR19330910
KD8_seq1_p1_17	SRR19330898;SRR19330899;SRR19330901;SRR19330902	SRR19331208;SRR19331209;SRR19331210;SRR19331211
KD8_seq1_p1_18	SRR19331199;SRR19331200;SRR19331201;SRR19331202	SRR19331190;SRR19331191;SRR19331192;SRR19331193
KD8_seq1_p1_19	SRR19330686;SRR19330687;SRR19330688;SRR19330689	SRR19330677;SRR19330678;SRR19330680;SRR19330681
KD8_seq1_p1_20	SRR19330405;SRR19330670;SRR19330671;SRR19330672	SRR19330395;SRR19330396;SRR19330397;SRR19330398
KD8_seq1_p1_21	SRR19331130;SRR19331131;SRR19331132;SRR19331133	SRR19330890;SRR19330891;SRR19330892;SRR19330893
KD8_seq1_p1_22	SRR19330881;SRR19330882;SRR19330884;SRR19330885	SRR19331383;SRR19331384;SRR19331385;SRR19331386
KD8_seq1_p1_23	SRR19331182;SRR19331183;SRR19331184;SRR19331185	SRR19331173;SRR19331174;SRR19331175;SRR19331176
KD8_seq1_p1_24	SRR19330669;SRR19331165;SRR19331166;SRR19331167	SRR19330660;SRR19330661;SRR19330663;SRR19330664
KD8_seq1_p1_25	SRR19330652;SRR19330653;SRR19330654;SRR19330655	SRR19330646;SRR19331123;SRR19331124;SRR19331125
KD8_seq1_p1_26	SRR19331114;SRR19331115;SRR19331116;SRR19331117	SRR19410231;SRR19410270;SRR19410549;SRR19410588
KD8_seq1_p1_27	SRR19410348;SRR19410565;SRR19410576;SRR19410587	SRR19410548;SRR19410560;SRR19410814;SRR19410825
KD8_seq1_p1_29	SRR19410532;SRR19410786;SRR19410797;SRR19411037	SRR19410758;SRR19410769;SRR19410780;SRR19411020
KD8_seq1_p1_30	SRR19410741;SRR19410752;SRR19410992;SRR19411003	SRR19410203;SRR19410724;SRR19410964;SRR19410975
KD8_seq1_p1_31	SRR19410186;SRR19410707;SRR19410948;SRR19410959	SRR19410158;SRR19410169;SRR19410920;SRR19410931
KD8_seq1_p1_32	SRR19410141;SRR19410152;SRR19410903;SRR19410914	SRR19410113;SRR19410124;SRR19410375;SRR19410886
KD8_seq1_p1_33	SRR19410347;SRR19410359;SRR19410845;SRR19410856	SRR19410091;SRR19410102;SRR19410586;SRR19410840
KD8_seq1_p1_34	SRR19410578;SRR19410579;SRR19410580;SRR19410581	SRR19410569;SRR19410570;SRR19410571;SRR19410572
KD8_seq1_p1_35	SRR19410320;SRR19410321;SRR19410322;SRR19410563	SRR19410311;SRR19410312;SRR19410313;SRR19410315
KD8_seq1_p1_36	SRR19410302;SRR19410304;SRR19410305;SRR19410306	SRR19410080;SRR19410081;SRR19411078;SRR19411079
KD8_seq1_p1_37	SRR19411069;SRR19411070;SRR19411071;SRR19411072	SRR19411060;SRR19411061;SRR19411062;SRR19411063
KD8_seq1_p1_38	SRR19410822;SRR19410823;SRR19410824;SRR19410826	SRR19410813;SRR19410815;SRR19410816;SRR19410817
KD8_seq1_p1_39	SRR19410562;SRR19410806;SRR19410807;SRR19410808	SRR19410553;SRR19410554;SRR19410555;SRR19410556
KD8_seq1_p1_40	SRR19410543;SRR19410544;SRR19410545;SRR19410546	SRR19410294;SRR19410295;SRR19410296;SRR19410298
KD8_seq1_p1_41	SRR19410285;SRR19410287;SRR19410288;SRR19410289	SRR19410277;SRR19410278;SRR19410279;SRR19410280
KD8_seq1_p1_42	SRR19411052;SRR19411053;SRR19411054;SRR19411055	SRR19411043;SRR19411044;SRR19411045;SRR19411046
KD8_seq1_p1_43	SRR19410805;SRR19411035;SRR19411036;SRR19411038	SRR19410796;SRR19410798;SRR19410799;SRR19410800
KD8_seq1_p1_44	SRR19410788;SRR19410789;SRR19410790;SRR19410791	SRR19410536;SRR19410537;SRR19410538;SRR19410782
KD8_seq1_p1_45	SRR19410527;SRR19410528;SRR19410529;SRR19410530	SRR19410518;SRR19410519;SRR19410520;SRR19410522
KD8_seq1_p1_46	SRR19410268;SRR19410271;SRR19410272;SRR19410273	SRR19410260;SRR19410261;SRR19410262;SRR19410263
KD8_seq1_p1_47	SRR19410251;SRR19410252;SRR19410253;SRR19410254	SRR19411026;SRR19411027;SRR19411028;SRR19411029
KD8_seq1_p1_48	SRR19411017;SRR19411018;SRR19411019;SRR19411021	SRR19410779;SRR19410781;SRR19411011;SRR19411012
KD8_seq1_p1_49	SRR19410771;SRR19410772;SRR19410773;SRR19410774	SRR19410762;SRR19410763;SRR19410764;SRR19410765
KD8_seq1_p1_50	SRR19410510;SRR19410511;SRR19410512;SRR19410513	SRR19410501;SRR19410502;SRR19410503;SRR19410505
KD8_seq1_p1_51	SRR19410492;SRR19410494;SRR19410495;SRR19410496	SRR19410244;SRR19410245;SRR19410246;SRR19410247
KD8_seq1_p1_52	SRR19410235;SRR19410236;SRR19410237;SRR19410238	SRR19410227;SRR19410228;SRR19411009;SRR19411010
KD8_seq1_p1_53	SRR19411000;SRR19411001;SRR19411002;SRR19411004	SRR19410991;SRR19410993;SRR19410994;SRR19410995
KD8_seq1_p1_54	SRR19410754;SRR19410755;SRR19410756;SRR19410757	SRR19410745;SRR19410746;SRR19410747;SRR19410748
KD8_seq1_p1_55	SRR19410736;SRR19410737;SRR19410738;SRR19410739	SRR19410484;SRR19410485;SRR19410486;SRR19410488
KD8_seq1_p1_56	SRR19410475;SRR19410477;SRR19410478;SRR19410479	SRR19410467;SRR19410468;SRR19410469;SRR19410470
KD8_seq1_p1_57	SRR19410218;SRR19410219;SRR19410220;SRR19410221	SRR19410209;SRR19410210;SRR19410211;SRR19410212
KD8_seq1_p1_58	SRR19410204;SRR19410984;SRR19410985;SRR19410986	SRR19410974;SRR19410977;SRR19410978;SRR19410979
KD8_seq1_p1_59	SRR19410966;SRR19410967;SRR19410968;SRR19410969	SRR19410728;SRR19410729;SRR19410730;SRR19410731
KD8_seq1_p1_60	SRR19410719;SRR19410720;SRR19410721;SRR19410722	SRR19410710;SRR19410711;SRR19410712;SRR19410714
KD8_seq1_p1_61	SRR19410458;SRR19410460;SRR19410461;SRR19410462	SRR19410450;SRR19410451;SRR19410452;SRR19410453
KD8_seq1_p1_62	SRR19410201;SRR19410202;SRR19410443;SRR19410444	SRR19410192;SRR19410193;SRR19410194;SRR19410195
KD8_seq1_p1_63	SRR19410183;SRR19410184;SRR19410185;SRR19410187	SRR19410958;SRR19410960;SRR19410961;SRR19410962
KD8_seq1_p1_64	SRR19410950;SRR19410951;SRR19410952;SRR19410953	SRR19410941;SRR19410942;SRR19410943;SRR19410944
KD8_seq1_p1_65	SRR19410702;SRR19410703;SRR19410704;SRR19410705	SRR19410693;SRR19410694;SRR19410695;SRR19410697
KD8_seq1_p1_66	SRR19410441;SRR19410686;SRR19410687;SRR19410688	SRR19410433;SRR19410434;SRR19410435;SRR19410436
KD8_seq1_p1_67	SRR19410424;SRR19410425;SRR19410426;SRR19410427	SRR19410175;SRR19410176;SRR19410177;SRR19410178
KD8_seq1_p1_68	SRR19410166;SRR19410167;SRR19410168;SRR19410170	SRR19410157;SRR19410159;SRR19410160;SRR19410161
KD8_seq1_p1_69	SRR19410933;SRR19410934;SRR19410935;SRR19410936	SRR19410924;SRR19410925;SRR19410926;SRR19410927
KD8_seq1_p1_70	SRR19410915;SRR19410916;SRR19410917;SRR19410918	SRR19410677;SRR19410678;SRR19410679;SRR19410681
KD8_seq1_p1_71	SRR19410667;SRR19410670;SRR19410671;SRR19410672	SRR19410416;SRR19410417;SRR19410418;SRR19410662
KD8_seq1_p1_72	SRR19410407;SRR19410408;SRR19410409;SRR19410410	SRR19410398;SRR19410399;SRR19410400;SRR19410401
KD8_seq1_p1_73	SRR19410149;SRR19410150;SRR19410151;SRR19410153	SRR19410140;SRR19410142;SRR19410143;SRR19410144
KD8_seq1_p1_74	SRR19410132;SRR19410133;SRR19410134;SRR19410135	SRR19410907;SRR19410908;SRR19410909;SRR19410910
KD8_seq1_p1_75	SRR19410898;SRR19410899;SRR19410900;SRR19410901	SRR19410660;SRR19410661;SRR19410891;SRR19410893
KD8_seq1_p1_76	SRR19410651;SRR19410653;SRR19410654;SRR19410655	SRR19410643;SRR19410644;SRR19410645;SRR19410646
KD8_seq1_p1_77	SRR19410391;SRR19410392;SRR19410393;SRR19410394	SRR19410381;SRR19410382;SRR19410383;SRR19410384
KD8_seq1_p1_78	SRR19410372;SRR19410373;SRR19410374;SRR19410376	SRR19410123;SRR19410125;SRR19410126;SRR19410127
KD8_seq1_p1_79	SRR19410115;SRR19410116;SRR19410117;SRR19410118	SRR19410107;SRR19410108;SRR19410109;SRR19410890
KD8_seq1_p1_80	SRR19410881;SRR19410882;SRR19410883;SRR19410884	SRR19410872;SRR19410873;SRR19410874;SRR19410876
KD8_seq1_p1_81	SRR19410634;SRR19410636;SRR19410637;SRR19410867	SRR19410626;SRR19410627;SRR19410628;SRR19410629
KD8_seq1_p1_82	SRR19410617;SRR19410618;SRR19410619;SRR19410620	SRR19410365;SRR19410366;SRR19410367;SRR19410368
KD8_seq1_p1_83	SRR19410356;SRR19410357;SRR19410358;SRR19410360	SRR19410349;SRR19410350;SRR19410351;SRR19410866
KD8_seq1_p1_84	SRR19410858;SRR19410859;SRR19410860;SRR19410861	SRR19410849;SRR19410850;SRR19410851;SRR19410852
