sample_id	mRNA_srrs	sgRNA_srrs
RD7_seq1_RPE1_1_1	SRR19489549;SRR19489550;SRR19489554;SRR19489559	SRR19489092;SRR19489105;SRR19489108;SRR19489536
RD7_seq1_RPE1_1_2	SRR19489097;SRR19489539;SRR19489552;SRR19489555	SRR19489103;SRR19489106;SRR19489107;SRR19489537
RD7_seq1_RPE1_1_3	SRR19489098;SRR19489538;SRR19489551;SRR19489556	SRR19489099;SRR19489101;SRR19489102;SRR19489110
RD7_seq1_RPE1_1_4	SRR19489545;SRR19489546;SRR19489547;SRR19489553	SRR19489096;SRR19489100;SRR19489104;SRR19489111
RD7_seq1_RPE1_2_1	SRR19489088;SRR19489563;SRR19489575;SRR19489577	SRR19489067;SRR19489093;SRR19489561;SRR19489579
RD7_seq1_RPE1_2_2	SRR19489091;SRR19489572;SRR19489576;SRR19489583	SRR19489068;SRR19489083;SRR19489560;SRR19489571
RD7_seq1_RPE1_2_3	SRR19489089;SRR19489564;SRR19489574;SRR19489580	SRR19489087;SRR19489562;SRR19489569;SRR19489578
RD7_seq1_RPE1_2_4	SRR19489090;SRR19489565;SRR19489573;SRR19489582	SRR19489069;SRR19489566;SRR19489567;SRR19489570
RD7_seq1_RPE1_3_1	SRR19489070;SRR19489073;SRR19489074;SRR19489082	SRR19489520;SRR19489521;SRR19489528;SRR19489531
RD7_seq1_RPE1_3_2	SRR19489064;SRR19489066;SRR19489071;SRR19489072	SRR19489495;SRR19489524;SRR19489526;SRR19489529
RD7_seq1_RPE1_3_3	SRR19489065;SRR19489076;SRR19489079;SRR19489081	SRR19489084;SRR19489085;SRR19489525;SRR19489530
RD7_seq1_RPE1_3_4	SRR19489077;SRR19489078;SRR19489080;SRR19489513	SRR19489519;SRR19489522;SRR19489527;SRR19489533
RD7_seq1_RPE1_4_1	SRR19489504;SRR19489509;SRR19489510;SRR19489534	SRR19489040;SRR19489062;SRR19489494;SRR19489500
RD7_seq1_RPE1_4_2	SRR19489508;SRR19489511;SRR19489512;SRR19489516	SRR19489041;SRR19489061;SRR19489493;SRR19489499
RD7_seq1_RPE1_4_3	SRR19489488;SRR19489506;SRR19489514;SRR19489517	SRR19489060;SRR19489063;SRR19489492;SRR19489502
RD7_seq1_RPE1_4_4	SRR19489507;SRR19489515;SRR19489518;SRR19489535	SRR19489496;SRR19489501;SRR19489503;SRR19489673
RD7_seq1_RPE1_5_1	SRR19489052;SRR19489058;SRR19489497;SRR19489498	SRR19489660;SRR19489664;SRR19489665;SRR19489672
RD7_seq1_RPE1_5_2	SRR19489051;SRR19489057;SRR19489059;SRR19489489	SRR19489036;SRR19489054;SRR19489661;SRR19489663
RD7_seq1_RPE1_5_3	SRR19489046;SRR19489048;SRR19489050;SRR19489490	SRR19489037;SRR19489668;SRR19489669;SRR19489671
RD7_seq1_RPE1_5_4	SRR19489043;SRR19489045;SRR19489047;SRR19489049	SRR19489055;SRR19489662;SRR19489666;SRR19489670
RD7_seq1_RPE1_6_1	SRR19489031;SRR19489035;SRR19489650;SRR19489653	SRR19489018;SRR19489025;SRR19489038;SRR19489276
RD7_seq1_RPE1_6_2	SRR19489032;SRR19489034;SRR19489039;SRR19489652	SRR19489020;SRR19489024;SRR19489483;SRR19489656
RD7_seq1_RPE1_6_3	SRR19489028;SRR19489030;SRR19489479;SRR19489654	SRR19489017;SRR19489023;SRR19489026;SRR19489655
RD7_seq1_RPE1_6_4	SRR19489029;SRR19489651;SRR19489657;SRR19489659	SRR19489022;SRR19489482;SRR19489486;SRR19489487
RD7_seq1_RPE1_7_1	SRR19489027;SRR19489275;SRR19489471;SRR19489475	SRR19489278;SRR19489473;SRR19489480;SRR19489642
RD7_seq1_RPE1_7_2	SRR19489284;SRR19489285;SRR19489465;SRR19489476	SRR19489279;SRR19489280;SRR19489283;SRR19489640
RD7_seq1_RPE1_7_3	SRR19489464;SRR19489470;SRR19489474;SRR19489478	SRR19489016;SRR19489272;SRR19489273;SRR19489481
RD7_seq1_RPE1_7_4	SRR19489019;SRR19489466;SRR19489467;SRR19489472	SRR19489282;SRR19489477;SRR19489484;SRR19489485
RD7_seq1_RPE1_8_1	SRR19489266;SRR19489267;SRR19489645;SRR19489649	SRR19489008;SRR19489626;SRR19489628;SRR19489631
